steps=1020 | du=49 | best_du=254 | best_ep=416 | du_mean30=44.367 | random_action=5.00%:  15%|███████████▊                                                                   | 30/200 [01:25<10:54,  3.85s/it]
steps=1030 | du=12 | best_du=254 | best_ep=416 | du_mean30=46.467 | random_action=5.00%:  20%|███████████████▊                                                               | 40/200 [01:49<04:02,  1.52s/it]
steps=1040 | du=50 | best_du=254 | best_ep=416 | du_mean30=54.967 | random_action=5.00%:  25%|███████████████████▊                                                           | 50/200 [02:33<13:15,  5.30s/it]
steps=1050 | du=83 | best_du=254 | best_ep=416 | du_mean30=50.467 | random_action=5.00%:  30%|███████████████████████▋                                                       | 60/200 [03:02<07:34,  3.25s/it]
steps=1060 | du=37 | best_du=254 | best_ep=416 | du_mean30=54.800 | random_action=5.00%:  35%|███████████████████████████▋                                                   | 70/200 [03:49<10:46,  4.97s/it]
steps=1070 | du=111 | best_du=254 | best_ep=416 | du_mean30=59.433 | random_action=5.00%:  40%|███████████████████████████████▏                                              | 80/200 [04:38<11:15,  5.63s/it]
steps=1080 | du=49 | best_du=254 | best_ep=416 | du_mean30=63.200 | random_action=5.00%:  45%|███████████████████████████████████▌                                           | 90/200 [05:18<07:51,  4.28s/it]
steps=1090 | du=12 | best_du=254 | best_ep=416 | du_mean30=68.533 | random_action=5.00%:  50%|███████████████████████████████████████                                       | 100/200 [06:04<04:59,  3.00s/it]
steps=1100 | du=13 | best_du=254 | best_ep=416 | du_mean30=53.167 | random_action=5.00%:  55%|██████████████████████████████████████████▉                                   | 110/200 [06:20<01:26,  1.04it/s]
steps=1110 | du=15 | best_du=254 | best_ep=416 | du_mean30=38.033 | random_action=5.00%:  60%|██████████████████████████████████████████████▊                               | 120/200 [06:33<02:04,  1.55s/it]
steps=1120 | du=93 | best_du=254 | best_ep=416 | du_mean30=28.933 | random_action=5.00%:  65%|██████████████████████████████████████████████████▋                           | 130/200 [07:06<04:56,  4.23s/it]
steps=1130 | du=85 | best_du=254 | best_ep=416 | du_mean30=44.467 | random_action=5.00%:  70%|██████████████████████████████████████████████████████▌                       | 140/200 [07:52<04:23,  4.39s/it]
steps=1140 | du=79 | best_du=254 | best_ep=416 | du_mean30=63.200 | random_action=5.00%:  75%|██████████████████████████████████████████████████████████▌                   | 150/200 [08:38<03:09,  3.78s/it]
steps=1150 | du=15 | best_du=254 | best_ep=416 | du_mean30=62.600 | random_action=5.00%:  80%|██████████████████████████████████████████████████████████████▍               | 160/200 [09:07<01:18,  1.97s/it]
steps=1160 | du=30 | best_du=254 | best_ep=416 | du_mean30=57.033 | random_action=5.00%:  85%|██████████████████████████████████████████████████████████████████▎           | 170/200 [09:50<02:26,  4.87s/it]
steps=1170 | du=102 | best_du=254 | best_ep=416 | du_mean30=56.167 | random_action=5.00%:  90%|█████████████████████████████████████████████████████████████████████▎       | 180/200 [10:42<02:21,  7.08s/it]
steps=1180 | du=16 | best_du=254 | best_ep=416 | du_mean30=74.200 | random_action=5.00%:  95%|██████████████████████████████████████████████████████████████████████████    | 190/200 [11:41<00:45,  4.58s/it]
steps=1190 | du=181 | best_du=254 | best_ep=416 | du_mean30=87.633 | random_action=5.00%: 100%|█████████████████████████████████████████████████████████████████████████████| 200/200 [12:54<00:00,  9.77s/it]
steps=1190 | du=181 | best_du=254 | best_ep=416 | du_mean30=87.633 | random_action=5.00%: 100%|█████████████████████████████████████████████████████████████████████████████| 200/200 [12:54<00:00,  3.87s/it]
